题目,作者,期刊,发表时间,摘要,关键词
国家基本公共卫生服务老年人健康体检的异常检出率分析,李梦宇;连隽;廖子锐;昝子晴;刘璐;尤莉莉;刘远立,中国全科医学(2023年22期),2023/5/18,"背景基本公共卫生服务项目中的老年健康体检服务对老年健康异常状况检出的贡献及老年人对体检结果的获悉情况相关研究报道较少。目的了解≥65岁老年人健康体检中发现的血压异常、血糖异常、超重肥胖、贫血、脂肪肝、胆结石或胆囊炎几种常见病的异常检出情况。方法2019年11—12月，采用多阶段分层抽样法从我国东、中、西部的3省5市20所基层医疗卫生机构选择前来就诊的≥65岁老年人作为调查对象（排除本年度体检结果不详者），根据基本公共卫生服务对象人群划分标准，将研究对象分为一般老年人（不患有高血压或糖尿病）、高血压老年人、糖尿病老年人3类，对所有调查对象进行“一对一”问卷调查（问卷内容包括被调查者一般人口学特征、老年人健康体检异常检出情况）。结果3018例老年人中，2033例（67.36%）自报健康体检异常。不同居住地类型、人群类型、所在地区、户口类型老年人自报健康体检异常率比较，差异有统计学意义（P<0.05）。3018例老年人中，1174例（38.90%）自报检出血压异常，747例（24.75%）自报检出血糖异常，719例（23.82%）自报检出血脂异常，445例（14.74%）自报检出脂肪肝，393例（13.02%）自报检出超重肥胖，238例（7.89%）自报检出胆结石或胆囊炎，60例（1.99%）自报检出贫血。49.13%的已被诊断为高血压的老年人在年度体检中的血压值异常，高血压老年人的血压控制率为50.87%；糖尿病老年人在体检中血糖异常率为60.48%，糖尿病老年人的血糖控制率为39.52%。多因素Logistic回归分析结果显示，糖尿病老年人血压异常检出率是一般老年人的2.57倍[95%CI(2.01,3.29)]，高血压、糖尿病老年人血脂异常检出率分别是一般老年人的1.64倍[95%CI(1.29,2.08)]、1.42倍[95%CI(1.10,1.84)]，高血压、糖尿病老年人超重肥胖检出率分别是一般老年人的2.79倍[95%CI(1.94,4.00)]、2.64倍[95%CI(1.80,3.87)]，高血压老年人脂肪肝检出率分别是一般老年人的2.10倍[95%CI(1.55,2.85)]，而高血压、糖尿病老年人贫血检出率则是一般老年人的0.25倍[95%CI(0.13,0.47)]、0.47倍[95%CI(0.25,0.86)]；农村老年人的血脂异常、胆结石或胆囊炎检出率分别是城市老年人的0.76倍[95%CI(0.64,0.90)]、1.32倍[95%CI(1.01,1.73)](P<0.05。结论基本公共卫生服务的老年人体检项目对老年人早发现、早知晓健康问题具有重要的作用。",老年人;老年人身心健康评价;体格检查;国家基本公共卫生服务;健康促进;
数字技术赋能农村基本公共卫生服务高质量供给研究,江维国;唐书娣,世界农业(2023年05期),2023/5/10,蓬勃发展和广泛应用的数字技术，正成为农村基本公共卫生服务事业高质量发展的重要推动力量。数字技术对农村基本公共卫生服务高质量供给的赋能主要体现在：促进供给主体协同化、供给内容多样化、供给决策智慧化以及供给方式规范化，但数据异质性、数据孤岛、技术过度依赖和数字鸿沟等因素制约了数字技术的赋能效应。因此，要构建标准化数据体系、优化数据共享流程、完善数字决策规则并提高村民数字素养，以充分释放数字技术赋能效应，促进农村基本公共卫生服务高质量供给。,数字技术;农村;基本公共卫生服务;高质量供给;技术赋能;
我国村医公共卫生服务能力现状与提升策略研究,李思清;王萱萱;曹冬丽;陈家应;张朝阳,南京医科大学学报(社会科学版)(2023年02期),2023/4/30,为了解我国村医基本公共卫生服务能力现状，通过调查我国东、中、西部村医公共卫生服务掌握情况，发现纳入分析的3916名村医中，3056人（78.0%）自报具备健康促进能力，2905人（74.2%）自报具备健康管理能力，3471人（88.6%）自报具备预防接种能力，3453人（88.2%）自报具备传染病及突发公共卫生事件报告处置能力。根据不同人群特征进一步分析，发现村医队伍存在结构不合理，公共卫生服务能力不均衡，不同地区村医服务能力差异较大等问题。需要加强高素质青年人才的补充，针对能力薄弱之处重点培训，对偏远地区实施政策优惠，保证村医招的进、留得住，推动队伍的可持续发展。,村医;基本公共卫生服务;服务能力;
制度逻辑与组织策略：对农村地区基本公共卫生服务制度执行偏差的一种新解释,高端阳;李睿;王道勇,中国农村观察(2023年02期),2023/3/28 16:35,基本公共卫生服务制度是一项保障全体人民健康、实现健康公平的重要制度安排，但该项制度在农村地区的执行成效与制度期待具有较大张力，存在制度执行偏差。本文搭建了“制度逻辑-组织策略”的研究框架，力图为该问题提供一种新的解释。本文发现：基本公共卫生服务制度具有多重逻辑，当该项制度嵌入基层医疗组织形成的组织场域时，制度的多重逻辑与基层医疗组织的实践逻辑产生了冲突，给基层医疗组织带来较大制度压力。为缓解制度压力，基层医疗组织采用“拼凑应对”的组织策略实现与基本公共卫生服务制度的适度脱耦，并在这一过程中通过关系动员的方式完成了合法性重建。这一系列的策略行动导致了制度执行偏差。因此，应以价值路径的重塑探寻矫正基本公共卫生服务制度执行偏差的可能方向，缓释制度工具逻辑与价值逻辑之间的张力，实现国家、社区与农村居民的健康共治，以回应制度的内在价值诉求。,基本公共卫生服务制度;基层医疗组织;执行偏差;制度逻辑;组织策略;
边境牧区基本公共卫生服务均等化的重大意义、现实困境与实现策略——基于新巴尔虎右旗的考察,阿梨玛;包银峰,内蒙古农业大学学报(社会科学版)(2023年01期),2023/3/16 9:54,基本公共卫生服务均等化对强化牧区群众国家认同、健康公平和实现牧区共同富裕有重大现实意义。目前，边境牧区虽在基本公共卫生服务均等化建设方面成效显著，但由于医疗卫生基础设施建设基础差、底子薄，仍面临着财政投入可持续性欠佳，医疗卫生服务可及性较差，基层卫生机构专业人才结构性失衡等问题。因此，推动基本公共卫生服务均等化应该增加投入、吸引人才、重视规划，纾解基层医疗卫生机构财政负担，鼓励专业医学人才到边境牧区就业，坚持公共卫生防治工作重心下沉。,边境牧区;基本公共卫生服务;均等化;
我国老年流动人口基本公共卫生服务利用状况及其影响因素,吴迪;王友华;葛选;饶韬;高玉晓;李玥,医学与社会(2023年03期),2023/3/10,"目的:了解目前老年流动群体公共卫生服务利用状况及其影响因素，为提高流动老人基本公共卫生服务利用率提供参考。方法:基于2017年全国流动人口动态监测调查数据，以6187名60岁及以上流动老年人口为研究对象，采用二分类logistic回归模型分析老年流动人口基本公共卫生服务利用状况及其影响因素。结果:在6187名研究对象中，知晓国家基本公共卫生服务利用项目的仅有2671名(43.17%),2015名(32.57%)流动老人明确建立了健康档案，3714名(60.03%)流动老人接受过慢性病健康防治教育。同时，分析结果显示，婚姻状态、受教育程度、户口、省内流动等因素均显著影响老年人口基本公共卫生服务利用(P<0.05)。结论:老年流动人口基本公共卫生服务利用率较低，需要提升老年人健康意识，促进基本公共服务均等化。",基本公共卫生服务;利用;老年人;流动人口;影响因素;
均等化试点政策对流动人口基本公共卫生服务利用的影响,徐兴美;刘春光;代震;崔丽伟;于贞杰;郑文贵;胡善菊;井淇,卫生经济研究(2023年03期),2023/3/2,目的：在均等化试点政策下，了解流动人口基本公共卫生服务利用情况及影响因素，为政策的深入实施和改进完善提供建议。方法：采用2018年全国流动人口卫生计生动态监测调查数据，运用χ2检验、二元Logistic回归方法检验均等化试点政策对流动人口基本公共卫生服务利用的影响。结果：流动人口建档率为28.3%，性别、收入、受教育程度、婚姻状况、户籍性质、是否参加医疗保险、流动范围、流动时间、流动原因、是否居住在试点城市是影响流动人口建立健康档案的因素。结论：流动人口基本公共卫生服务利用处于较低水平，均等化试点政策效果不明显，应加大宣传力度，优化资源组合方式，加快信息化建设，助力均等化试点政策的落实。,流动人口;基本公共卫生服务;均等化试点政策;
基本公共卫生服务项目绩效评价指标体系优化研究——基于政策绩效视角,陈露;李文思,财政监督(2023年03期),2023/2/1,基本公共卫生服务作为我国一项重要的公共政策，主要通过开展服务项目来实现政策目标。绩效评价对提高基本公共卫生服务质量和效率非常关键，其中绩效评价指标体系的设计是绩效评价工作的核心内容，因此本文将基于政策绩效视角对现有基本公共卫生服务项目绩效评价指标体系进行优化研究，以期建立科学的绩效评价指标体系，积极发挥绩效考核的“指挥棒”作用，指出服务优化的落实方向，保障基本公共卫生服务政策目标的顺利达成。,基本公共卫生服务;政策绩效;绩效评价指标体系;
基本公共卫生服务质控中心绩效评价指标体系构建研究,孙华君;林姗;徐雅萱;张雅欣;汤乃军;李婧;李刚;袁源;杜汋,中国医疗管理科学(2023年01期),2023/1/15,目的构建基本公共卫生服务质控中心绩效评价指标体系，为评价基本公共卫生服务质控中心绩效情况提供依据。方法通过文献分析法初步拟定评价指标体系框架，选取从事卫生健康行政管理、医疗卫生质量控制、基本公共卫生服务等工作的14位专家，通过德尔菲法对专家进行两轮问卷询问，利用层次分析法计算三级指标所占的权重大小。结果两轮发出问卷全部回收；专家权威系数Cr=0.87，专家具有较高威信；两轮的Kendall'sW由0.237上升为0.357，差异有统计学意义（P<0.001），提示专家所持意见趋于统一；构建了基本公共卫生服务质控中心绩效评价指标体系，包含4个一级指标、7个二级指标和44个三级指标。结论研究构建的基本公共卫生服务质控中心绩效评价指标体系具有可行性，可为评价基本公共卫生服务质控中心工作开展情况提供参考。,基本公共卫生服务;质量控制;绩效评价;指标体系;
居民社会资本对基本公共卫生服务利用的影响研究,詹祥;周颖;许兴龙;李金海;朱铁林,中国卫生事业管理(2023年01期),2023/1/15,目的：了解居民社会资本与其基本公共卫生服务利用的关联，从社会学、管理学交叉视角探求提升基本公共卫生服务利用效率的新路径。方法：以Onyx和Bullen的社会资本量表为基础，于2021年3至6月对南京市某社区居民进行综合问卷调查，使用Mann-WhitneyU、Kruskal-WallisH检验以及logistic回归分析社会资本各维度得分与基本公共卫生服务的二元关联以及社会资本各维度得分对基本公共卫生服务利用的总效应。结果：签约家庭医生、建立健康档案、健康教育、生活方式指导、突发公共卫生事件在社会资本全8个维度差异显著；政府公益热线知晓和利用在6个维度(社区参与、主动性、邻里关系、家人和朋友联系、多样性容忍度及其他)差异显著；接种疫苗在5个维度(社区参与、主动性、邻里关系、家人和朋友联系及其他维度)差异显著。结论：主动性、信任与安全感以及多样性容忍度正向促进家庭医生签约；邻里关系正向促进健康档案建档率和流感疫苗接种率；社区参与正向促进健康教育参与度和突发公共卫生事件接受度；社区参与和主动性正向促进生活方式指导接受频率。,社会资本;基本公共卫生服务;服务利用;影响;
